file	obj_mean
50_2_3	86.2
50_3_3	334.4
50_4_3	3382.5	 
50_5_3	4125.8	 
50_10_3	37521.6	 
50_15_3	56015.2
50_20_3	102652
100_2_3	178.1
100_3_3	531.3
100_4_3	867.5
100_5_3	6224.5
100_10_3	47004.8
100_15_3	96827.3
100_20_3	113112.5
50_2_4	391.4
50_3_4	678.3
50_4_4	836.7
50_5_4	1094.4
50_10_4	42005.6
50_15_4	56034.7
50_20_4	123627.8
100_2_4	687.2
100_3_4	1213.7
100_4_4	1924.6
100_5_4	8356.8
100_10_4	75034.8
100_15_4	122892.7
100_20_4	174981.6
