file runs  obj_mean   obj_sd t_mean
100_10_2   10 17919.61 2229.12  600.0
100_2_2    10     7.78    3.98  600.0
100_20_2   10 55033.86 3404.83  600.0
100_5_2    10  2893.53  403.46  600.0
50_10_2    10 19178.38 1594.58  600.0
50_2_2     10     5.50    1.70  600.0
50_20_2    10 53756.40 5654.99  600.0
50_5_2     10  2351.59  171.95  600.0
500_10_2   10 34012.78 3465.41  601.9
500_2_2    10   256.42  184.37  600.8
500_20_2   10 73564.64 6416.90  602.7
500_5_2    10 10904.75 2659.59  601.5
