file runs  obj_mean   obj_sd t_mean
100_10_2   10 18513.72 1211.32  600.0
100_2_2    10     5.40    3.51  600.0
100_20_2   10 53309.92 2200.61  600.0
100_5_2    10  2767.32   55.94  600.0
50_10_2    10 19208.93 1723.14  600.0
50_2_2     10     6.39    2.24  600.0
50_20_2    10 59400.54  923.77  600.0
50_5_2     10  2972.43  155.79  600.0
500_10_2   10 33761.08 5380.50  601.7
500_2_2    10   309.73  112.53  601.3
500_20_2   10 74194.41 7428.66  602.5
500_5_2    10  9168.30 2851.80  601.6
