file runs  obj_mean   obj_sd t_mean
100_10_2   10 30709.94 3050.15    600
100_2_2    10    20.43   10.04    600
100_20_2   10 74091.93 2169.42    600
100_5_2    10  5053.36  944.78    600
50_10_2    10 31237.07 2757.19    600
50_2_2     10    13.46    3.52    600
50_20_2    10 74014.20 7974.23    600
50_5_2     10  5399.42 1427.47    600
500_10_2   10 28762.01 2846.36    600
500_2_2    10    19.62    9.38    600
500_20_2   10 71994.96 4921.00    600
500_5_2    10  4659.75  918.68    600
