file runs  obj_mean   obj_sd t_mean
100_10_2   10 27530.33 4736.63    600
100_2_2    10    13.99    9.83    600
100_20_2   10 73060.29 6822.70    600
100_5_2    10  5437.23 1652.07    600
50_10_2    10 29506.84 4585.53    600
50_2_2     10    19.92   12.28    600
50_20_2    10 78638.57 7872.63    600
50_5_2     10  4823.40 1259.40    600
500_10_2   10 28746.59 2728.66    600
500_2_2    10    21.67    7.73    600
500_20_2   10 71039.28 4403.97    600
500_5_2    10  5425.47  705.17    600
